category,subcategory,name,price,variants,description,veg,rating,rating_count,bestseller,availability
Mini Pancake,,Blueberry Mini Pancake,₹340,,"Fluffy pancakes layered with blueberry coulis, served with maple syrup",Veg,4.0,4,,In Stock
Mini Pancake,,Choco Truffle Mini Pancake,₹300,,"Fluffy pancakes layered with chocolate truffle sauce, served with maple syrup",Veg,,,,In Stock
Mini Pancake,,Banana Caramel Mini Pancake,₹280,,"Fluffy pancakes layered with caramel sauce and topped with sliced bananas & kiwi, served with maple syrup",Veg,,,,In Stock
Mini Pancake,,Strawberry Mini Pancake,₹280,,"Fluffy pancakes layered with strawberry coulis, served with maple syrup",Veg,,,,In Stock
Mini Pancake,,Jamun Mini Pancake,₹280,,"Fluffy pancakes layered with jamun coulis, served with maple syrup?",Veg,,,,In Stock
Smoothies,,Avocado & Berry Smoothie,₹340,,"Fresh avocado chunks and berries blended with creamy milk, yogurt and vanilla ice cream",Veg,5.0,4,,In Stock
Smoothies,,Vanilla Almond Smoothie,₹320,,"Home-made almond butter blended with vanilla essence, creamy almond milk, yogurt and vanilla ice cream",Veg,,,,In Stock
Smoothies,,Strawberry Banana Smoothie,₹290,,"Fresh banana and strawberries blended with creamy milk, yogurt and vanilla ice cream",Veg,5.0,4,,In Stock
Smoothies,,Choco Peanut Smoothie,₹290,,"Dark chocolate and peanut butter blended with fresh banana, cocoa, creamy milk and yogurt",Veg,,,,In Stock
Shakes,,Matcha Pistachio Shake,₹360,,"Matcha blended with pistachio, honey, vanilla ice cream & creamy milk",Veg,,,,In Stock
Shakes,,Chocolate Overload,₹280,,"Indulgent chocolate blended with brownie, chocolate ice cream & milk",Veg,,,,In Stock
Shakes,,Berry Oreo,₹280,,"Oreo biscuits blended with blueberry extract, chocolate ice cream & milk",Veg,,,,In Stock
Shakes,,Vanilla Fruit Loops,₹260,,Nostalgic fruit loops blended with vanilla ice cream and milk,Veg,,,,In Stock
Desi Chai,,Ginger Chai,₹210,180 Ml: ₹210 | 400 Ml: ₹390,Black tea brewed with milk and fresh grated ginger,Veg,,,,In Stock
Desi Chai,,Masala Chai,₹210,180 Ml: ₹210 | 400 Ml: ₹390,Black tea brewed with milk and Indian spices,Veg,,,,In Stock
Desi Chai,,Elaichi Chai,₹210,180 Ml: ₹210 | 400 Ml: ₹390,Black tea brewed with milk and elaichi,Veg,,,,In Stock
Desi Chai,,Chai,₹190,180 Ml: ₹190 | 400 Ml: ₹360,Black tea brewed with creamy milk,Veg,4.2,4,,In Stock
Tea-tails,,Chamomile Lavender Dream,₹280,,In-house chamomile & lavender infusion with natural sweetness,Veg,,,,In Stock
Tea-tails,,Strawberry Rhododendron Dill Blush,₹280,,In-house strawberry & rhododendron infusion with dill & natural sweetness,Veg,,,,In Stock
Tea-tails,,Earl Grey Maple Spark,₹240,,In-house earl grey infusion with rich maple sweetness,Veg,,,,In Stock
Tea-tails,,Rosemary Green Mint Meadow,₹240,,In-house mint green tea infusion with rosemary & honey,Veg,,,,In Stock
Mocktails,,Kiwi Fizz,₹260,,Fresh kiwi fruit with a hint of orange in fizzy water,Veg,,,,In Stock
Mocktails,,Passion Fruit Mojito,₹260,,Fresh passion fruit and lemon slices in fizzy water,Veg,,,,In Stock
Mocktails,,Watermelon Mojito,₹220,,Fresh watermelon chunks with a dash of lime in fizzy water,Veg,,,,In Stock
Mocktails,,Blueberry Basil Blitz,₹280,,Fresh blueberries & basil with lime in fizzy water,Veg,,,,In Stock
Drinking Chocolate,,Hazelnut Belgian Drinking Chocolate,₹320,,Rich callebaut Belgian dark chocolate blended with hazelnut extract & creamy milk,Veg,,,,In Stock
Drinking Chocolate,,Belgian Drinking Chocolate,₹280,,Rich callebaut Belgian dark chocolate blended with creamy milk,Veg,,,,In Stock
Add On,,A Slice Of Garlic Bread,₹40,,,Veg,5.0,4,,In Stock
Add On,,A Boiled Egg,₹40,,,Non-Veg,,,,In Stock
Add On,,An Additional Pav,₹40,,,Veg,,,,In Stock
