place_name,maps_url,rating,review_count,scraped_swiggy,swiggy_rest_id,scraped_google
Third Wave Coffee,https://www.google.com/maps/place/Third+Wave+Coffee/data=!4m7!3m6!1s0x3bae1538d8d0648b:0x53503adc47671eb4!8m2!3d12.9095219!4d77.6326659!16s%2Fg%2F11x7xdrpys!19sChIJi2TQ2DgVrjsRtB5nR9w6UFM,4.6,86,true,38634
ON THE GO cafe - HSR LAYOUT,https://www.google.com/maps/place/ON+THE+GO+cafe+-+HSR+LAYOUT/data=!4m7!3m6!1s0x3bae15acd6f47217:0x955682380b30b688!8m2!3d12.9189209!4d77.6513773!16s%2Fg%2F11y4qy5dy_!19sChIJF3L01qwVrjsRiLYwCziCVpU,4.8,63,true,
Chennapatnam Filter Coffee | HSR Layout Bangalore,https://www.google.com/maps/place/Chennapatnam+Filter+Coffee+%7C+HSR+Layout+Bangalore/data=!4m7!3m6!1s0x3bae15007a59a185:0x6a959a566a26c2c7!8m2!3d12.9012449!4d77.6517517!16s%2Fg%2F11y2jskjmw!19sChIJhaFZegAVrjsRx8ImalaalWo,4.4,49,true,
Cafe 27,https://www.google.com/maps/place/Cafe+27/data=!4m7!3m6!1s0x3bae15205af16113:0x74920f5c21237422!8m2!3d12.9112282!4d77.6522832!16s%2Fg%2F11fhjzt2dd!19sChIJE2HxWiAVrjsRInQjIVwPknQ,4.1,4745,true,927726
Cafe Amudham HSR Layout,https://www.google.com/maps/place/Cafe+Amudham+HSR+Layout/data=!4m7!3m6!1s0x3bae154958ef6dc1:0x3a2a37bff5c1c8da!8m2!3d12.911733!4d77.6441734!16s%2Fg%2F11wftp89kp!19sChIJwW3vWEkVrjsR2sjB9b83Kjo,3.9,878,true,
Nivy’s Resto cafe / Nivy’s Roots & Shoots,https://www.google.com/maps/place/Nivy%E2%80%99s+Resto+cafe+%2F+Nivy%E2%80%99s+Roots+%26+Shoots/data=!4m7!3m6!1s0x3bae151180ceaf6f:0xf75c8b6e2f939ce5!8m2!3d12.8958222!4d77.6582916!16s%2Fg%2F11pggn8p56!19sChIJb6_OgBEVrjsR5ZyTL26LXPc,4.6,716,true,
Kafe Viva,https://www.google.com/maps/place/Kafe+Viva/data=!4m7!3m6!1s0x3bae15e8805ff281:0xea966bb3cc93c147!8m2!3d12.9189237!4d77.6512255!16s%2Fg%2F11vxh9kq_v!19sChIJgfJfgOgVrjsRR8GTzLNrluo,4.6,69,true,911847
Shelby The Barista,https://www.google.com/maps/place/Shelby+The+Barista/data=!4m7!3m6!1s0x3bae150056df65a9:0xda95e18ab95dceac!8m2!3d12.9087419!4d77.6509864!16s%2Fg%2F11lw2trly8!19sChIJqWXfVgAVrjsRrM5duYrhldo,4.3,280,true,
Godavari Cafe@HSR,https://www.google.com/maps/place/Godavari+Cafe@HSR/data=!4m7!3m6!1s0x3bae150078c14683:0xbfa8d5a82958a7d1!8m2!3d12.9157229!4d77.6325272!16s%2Fg%2F11wh3bjj3g!19sChIJg0bBeAAVrjsR0adYKajVqL8,3.7,313,true,696705
Pancharangi Cafe,https://www.google.com/maps/place/Pancharangi+Cafe/data=!4m7!3m6!1s0x3bae14f3555c6771:0x318a0787fc92b479!8m2!3d12.9180887!4d77.6306774!16s%2Fg%2F11ggngtvj5!19sChIJcWdcVfMUrjsRebSS_IcHijE,4.4,161,true,493661
